 Central Slopes                        , CS    , NRM15
 Southern Slopes (Vic West)            , SSVW  , NRM15
 Murray Basin                          , MB    , NRM15
 Southern Slopes (Tas East)            , SSTE  , NRM15
 Wet Tropics                           , WT    , NRM15
 Southern Slopes (Tas West)            , SSTW  , NRM15
 Southern and SW Flatlands (West)      , SSWFW , NRM15
 Southern and SW Flatlands (East)      , SSWFE , NRM15
 Rangelands (North)                    , RN    , NRM15
 Monsoonal North (East)                , MNE   , NRM15
 Monsoonal North (West)                , MNW   , NRM15
 East Coast (South)                    , ECS   , NRM15
 Southern Slopes (Vic/NSW East)        , SSVE  , NRM15
 East Coast (North)                    , ECN   , NRM15
 Rangelands (South)                    , RS    , NRM15
 Northern Australia                    , NA    , NRM4
 Rangelands                            , RN    , NRM4
 Eastern Australia                     , EA    , NRM4
 Southern Australia                    , SA    , NRM4
 Central Slopes                        , CS    , NRM8
 East Coast                            , EC    , NRM8
 Murray Basin                          , MB    , NRM8
 Monsoonal North                       , MN    , NRM8
 Rangelands                            , R     , NRM8
 Southern Slopes                       , SS    , NRM8
 Southern and South-Western Flatlands  , SSWF  , NRM8
 Wet Tropics                           , WT    , NRM8
 Central Slopes                        , CS    , NRM8
 East Coast                            , EC    , NRM8
 Murray Basin                          , MB    , NRM8
 Monsoonal North                       , MN    , NRM8
 Rangelands                            , R     , NRM8
 Southern Slopes                       , SS    , NRM8
 Southern and South-Western Flatlands  , SSWF  , NRM8
 Wet Tropics                           , WT    , NRM8
